level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1653,2339,-1,
2,1,1,0,0,0,394,61,98,6,-1,
3,1,1,1,0,0,394,61,98,6,-1,
4,1,1,1,1,0,394,61,98,6,-1,
5,1,1,1,1,1,394,61,98,6,95, 
2,1,2,0,0,0,289,87,355,58,-1,
3,1,2,1,0,0,289,87,355,58,-1,
4,1,2,1,1,0,289,87,346,23,-1,
5,1,2,1,1,1,289,87,151,22,88,АРТАМЕНТ
5,1,2,1,1,2,452,87,183,23,90,ЗЕМЕЛЬНЫХ
4,1,2,1,2,0,293,118,351,27,-1,
5,1,2,1,2,1,293,118,78,23,44,РСОВ
5,1,2,1,2,2,385,118,119,27,90,ГОРОДА
5,1,2,1,2,3,515,120,129,21,53,МОСКВЫ:
2,1,3,0,0,0,41,166,617,91,-1,
3,1,3,1,0,0,41,162,617,95,-1,
4,1,3,1,1,0,327,166,331,41,-1,
5,1,3,1,1,1,327,169,160,33,78,АРХИВ
5,1,3,1,1,2,550,162,59,45,48,4#
5,1,3,1,1,3,655,166,3,38,48,|
4,1,3,1,2,0,41,210,600,47,-1,
5,1,3,1,2,1,41,210,600,47,57,ДОГОВОРДОЛГОСРОЧНОЙ
5,1,3,1,2,2,587,206,46,55,95,—
2,1,4,0,0,0,48,318,669,38,-1,
3,1,4,1,0,0,48,318,669,38,-1,
4,1,4,1,1,0,48,318,669,38,-1,
5,1,4,1,1,1,48,321,171,35,91,АРЕНДЫ
5,1,4,1,1,2,230,319,281,29,91,ЗЕМЕЛЬНОГО
5,1,4,1,1,3,522,318,195,28,91,УЧАСТКА
2,1,5,0,0,0,44,460,505,130,-1,
3,1,5,1,0,0,44,460,505,135,-1,
4,1,5,1,1,0,44,460,338,49,-1,
5,1,5,1,1,1,44,460,338,49,52,[№]МГ-
5,1,5,1,1,2,174,456,23,67,55,Ъ
5,1,5,1,1,3,207,456,46,67,90,3-
5,1,5,1,1,4,263,460,118,49,93,547698
4,1,5,1,2,0,151,516,233,29,-1,
5,1,5,1,2,1,151,517,94,28,92,(Номер
5,1,5,1,2,2,258,516,126,27,91,договора)
4,1,5,1,3,0,408,544,141,46,-1,
5,1,5,1,3,1,517,544,32,46,50,я
2,1,6,0,0,0,158,600,344,30,-1,
3,1,6,1,0,0,158,600,344,30,-1,
4,1,6,1,1,0,158,600,344,30,-1,
5,1,6,1,1,1,158,602,102,28,91,(Число)
5,1,6,1,1,2,280,601,105,28,88,(Месяц)
5,1,6,1,1,3,404,596,20,38,79,—
5,1,6,1,1,4,436,600,66,28,84,(Год)
2,1,7,0,0,0,185,677,229,28,-1,
3,1,7,1,0,0,185,677,229,28,-1,
4,1,7,1,1,0,185,677,229,28,-1,
5,1,7,1,1,1,185,677,229,28,91,770305014011
2,1,8,0,0,0,160,722,258,68,-1,
3,1,8,1,0,0,160,722,258,68,-1,
4,1,8,1,1,0,160,722,258,31,-1,
5,1,8,1,1,1,160,724,12,28,73,(
5,1,8,1,1,2,175,724,190,29,73,Кадастровый
5,1,8,1,1,3,372,723,29,21,88,№
5,1,8,1,1,4,406,722,12,28,95,)
4,1,8,1,2,0,214,763,169,27,-1,
5,1,8,1,2,1,214,763,169,27,95,032202611
2,1,9,0,0,0,203,808,169,23,-1,
3,1,9,1,0,0,203,808,169,23,-1,
4,1,9,1,1,0,203,808,169,23,-1,
5,1,9,1,1,1,203,809,133,22,88,Условный
5,1,9,1,1,2,344,808,28,22,88,№
2,1,10,0,0,0,46,662,509,8,-1,
3,1,10,1,0,0,46,662,509,8,-1,
4,1,10,1,1,0,46,662,509,8,-1,
5,1,10,1,1,1,46,662,509,8,95, 
2,1,11,0,0,0,44,749,514,6,-1,
3,1,11,1,0,0,44,749,514,6,-1,
4,1,11,1,1,0,44,749,514,6,-1,
5,1,11,1,1,1,44,749,514,6,95, 
2,1,12,0,0,0,44,687,4,202,-1,
3,1,12,1,0,0,44,687,4,202,-1,
4,1,12,1,1,0,44,687,4,202,-1,
5,1,12,1,1,1,44,687,4,202,95, 
2,1,13,0,0,0,47,892,475,115,-1,
3,1,13,1,0,0,47,892,475,115,-1,
4,1,13,1,1,0,78,892,444,32,-1,
5,1,13,1,1,1,78,896,11,28,75,(
5,1,13,1,1,2,93,895,179,29,79,Предыдущий
5,1,13,1,1,3,279,894,190,27,91,Кадастровый
5,1,13,1,1,4,477,893,28,21,90,№
5,1,13,1,1,5,510,892,12,28,96,)
4,1,13,1,2,0,47,980,160,27,-1,
5,1,13,1,2,1,47,989,23,18,90,г.
5,1,13,1,2,2,81,980,126,26,92,Москва
2,1,14,0,0,0,48,1063,1345,593,-1,
3,1,14,1,0,0,48,1063,1345,593,-1,
4,1,14,1,1,0,145,1063,1244,42,-1,
5,1,14,1,1,1,145,1071,218,34,91,Департамент
5,1,14,1,1,2,383,1076,180,20,90,земельных
5,1,14,1,1,3,584,1075,147,27,90,ресурсов
5,1,14,1,1,4,753,1073,112,28,90,города
5,1,14,1,1,5,886,1065,145,31,90,"Москвы,"
5,1,14,1,1,6,1054,1063,189,35,92,именуемый
5,1,14,1,1,7,1267,1071,15,18,90,в
5,1,14,1,1,8,1304,1070,85,23,90,даль-
4,1,14,1,2,0,48,1109,1342,43,-1,
5,1,14,1,2,1,48,1119,128,26,93,нейшем
5,1,14,1,2,2,196,1114,299,38,73,"""Арендодатель"","
5,1,14,1,2,3,513,1123,17,18,92,в
5,1,14,1,2,4,547,1122,78,23,92,лице
5,1,14,1,2,5,642,1120,190,20,92,начальника
5,1,14,1,2,6,849,1112,310,35,91,Территориального
5,1,14,1,2,7,1178,1109,212,31,92,объединения
4,1,14,1,3,0,48,1159,1343,39,-1,
5,1,14,1,3,1,48,1171,246,27,92,регулирования
5,1,14,1,3,2,319,1168,303,21,92,землепользования
5,1,14,1,3,3,647,1159,234,35,92,Департамента
5,1,14,1,3,4,905,1165,179,19,92,земельных
5,1,14,1,3,5,1110,1164,145,27,91,ресурсов
5,1,14,1,3,6,1281,1163,110,27,91,города
4,1,14,1,4,0,49,1202,1344,38,-1,
5,1,14,1,4,1,49,1209,132,26,91,Москвы
5,1,14,1,4,2,198,1217,16,17,91,в
5,1,14,1,4,3,229,1208,184,26,91,Восточном
5,1,14,1,4,4,432,1214,314,26,90,административном
5,1,14,1,4,5,765,1213,107,26,91,округе
5,1,14,1,4,6,890,1204,159,27,92,г.Москвы
5,1,14,1,4,7,1068,1203,175,27,91,Остаповой
5,1,14,1,4,8,1261,1202,132,30,92,Людми-
4,1,14,1,5,0,49,1248,1342,42,-1,
5,1,14,1,5,1,49,1264,43,19,93,лы
5,1,14,1,5,2,111,1253,270,37,86,"Митрофановны,"
5,1,14,1,5,3,400,1253,243,34,90,действующего
5,1,14,1,5,4,662,1259,38,19,92,на
5,1,14,1,5,5,719,1258,173,19,92,основании
5,1,14,1,5,6,913,1250,191,26,91,Положения
5,1,14,1,5,7,1124,1256,17,19,93,о
5,1,14,1,5,8,1160,1248,231,34,91,Департаменте
4,1,14,1,6,0,49,1293,1342,43,-1,
5,1,14,1,6,1,49,1309,177,20,92,земельных
5,1,14,1,6,2,241,1308,148,28,91,ресурсов
5,1,14,1,6,3,406,1307,113,27,92,города
5,1,14,1,6,4,534,1298,134,27,92,Москвы
5,1,14,1,6,5,685,1306,18,18,92,и
5,1,14,1,6,6,719,1304,229,27,91,доверенности
5,1,14,1,6,7,966,1304,35,18,93,от
5,1,14,1,6,8,1017,1294,173,27,91,30.12.2005
5,1,14,1,6,9,1209,1302,22,18,92,г.
5,1,14,1,6,10,1248,1293,35,27,93,№
5,1,14,1,6,11,1301,1293,90,27,91,33-И-
4,1,14,1,7,0,51,1340,1342,40,-1,
5,1,14,1,7,1,51,1345,152,35,89,"3/5-(211),"
5,1,14,1,7,2,225,1354,34,19,93,от
5,1,14,1,7,3,277,1353,102,19,92,имени
5,1,14,1,7,4,399,1345,246,34,91,Правительства
