text,upper_left_y,upper_left_x,upper_right_y,upper_right_x,lower_right_y,lower_right_x,lower_left_y,lower_left_x
АРТАМЕНТ,87,289,87,440,109,440,109,289
ЗЕМЕЛЬНЫХ,87,452,87,635,110,635,110,452
РСОВ,118,293,118,371,141,371,141,293
ГОРОДА,118,385,118,504,145,504,145,385
МОСКВЫ:,120,515,120,644,141,644,141,515
4#,162,550,162,609,207,609,207,550
|,166,655,166,658,204,658,204,655
АРХИВ,169,327,169,487,202,487,202,327
—,206,587,206,633,261,633,261,587
ДОГОВОРДОЛГОСРОЧНОЙ,210,41,210,641,257,641,257,41
УЧАСТКА,318,522,318,717,346,717,346,522
ЗЕМЕЛЬНОГО,319,230,319,511,348,511,348,230
АРЕНДЫ,321,48,321,219,356,219,356,48
Ъ,456,174,456,197,523,197,523,174
3-,456,207,456,253,523,253,523,207
[№]МГ-,460,44,460,382,509,382,509,44
547698,460,263,460,381,509,381,509,263
договора),516,258,516,384,543,384,543,258
(Номер,517,151,517,245,545,245,545,151
я,544,517,544,549,590,549,590,517
—,596,404,596,424,634,424,634,404
(Год),600,436,600,502,628,502,628,436
(Месяц),601,280,601,385,629,385,629,280
(Число),602,158,602,260,630,260,630,158
770305014011,677,185,677,414,705,414,705,185
),722,406,722,418,750,418,750,406
№,723,372,723,401,744,401,744,372
(,724,160,724,172,752,172,752,160
Кадастровый,724,175,724,365,753,365,753,175
032202611,763,214,763,383,790,383,790,214
№,808,344,808,372,830,372,830,344
Условный,809,203,809,336,831,336,831,203
),892,510,892,522,920,522,920,510
№,893,477,893,505,914,505,914,477
Кадастровый,894,279,894,469,921,469,921,279
Предыдущий,895,93,895,272,924,272,924,93
(,896,78,896,89,924,89,924,78
Москва,980,81,980,207,1006,207,1006,81
г.,989,47,989,70,1007,70,1007,47
именуемый,1063,1054,1063,1243,1098,1243,1098,1054
"Москвы,",1065,886,1065,1031,1096,1031,1096,886
даль-,1070,1304,1070,1389,1093,1389,1093,1304
Департамент,1071,145,1071,363,1105,363,1105,145
