ocr_id;text;upper_left_y;upper_left_x;upper_right_y;upper_right_x;lower_right_y;lower_right_x;lower_left_y;lower_left_x
10545;ПРАВИТЕЛЬСТВО;247;586;245;839;271;839;273;586
10546;МОсквы;248;834;247;959;268;959;269;834
10547;Г.МОСКВЫ;277;1143;276;1334;309;1334;310;1143
10548;ГРАДОСТРОИТЕЛЬСТВУ;280;724;277;1141;311;1141;314;724
10549;И;284;692;284;710;306;710;306;692
10550;ПО;285;380;285;426;309;426;309;380
10551;АРХИТЕКТУРЕ;285;439;283;676;308;676;310;439
10552;КОМИТЕТ;287;208;286;367;310;367;311;208
10553;TFALOCTTO;318;1120;380;1197;395;1185;333;1108
10554;тел.250-55-20;322;1229;320;1355;333;1355;335;1229
10555;площадь,1;327;383;327;482;343;482;343;383
10556;Триумфальная;328;228;327;373;344;373;345;228
10557;125047,;330;71;330;137;346;137;346;71
10558;Москва,;330;146;330;220;344;220;344;146
10559;Главный;385;1125;386;1231;412;1231;411;1125
10560;архитектор;386;1234;387;1370;413;1370;412;1234
10561;города;390;1379;391;1456;411;1456;410;1379
10562;Код;391;65;391;105;412;105;412;65
10563;объекта;393;106;394;186;410;186;409;106
10564;недвижимости:;395;197;396;350;412;350;411;197
10565;объекта:;456;263;454;350;472;350;474;263
10566;Код;458;62;457;96;474;96;475;62
10567;строительного;461;106;458;254;475;254;478;106
10568;521-31/439-1998;465;498;465;745;494;745;494;498
10569;Кутемин;476;1324;477;1463;510;1463;509;1324
10570;А.В.;481;1252;482;1313;505;1313;504;1252
10571;MOCKR;497;1173;532;1121;519;1112;484;1164
10572;Регистрационный;520;62;519;244;539;244;540;62
10573;No:;520;254;520;279;535;279;535;254
10574;5689/4-01;524;558;524;695;548;695;548;558
10575;СВИДЕТЕЛЬСТВО;598;446;596;748;631;748;633;446
10576;УТВЕРЖДЕНИИ;599;800;597;1066;626;1066;628;800
10577;ОБ;601;744;601;789;623;789;623;744
10578;РЕШЕНИЯ;641;1029;640;1197;674;1197;675;1029
10579;АРХИТЕКТУРНО-ГРАДОСТРОИТЕЛЬНОГО;646;308;640;1027;674;1027;680;308
10580;Москва;687;946;688;1056;712;1056;711;946
10581;Город:;690;421;691;485;711;485;710;421
10582;АДРЕС;692;79;690;153;711;153;713;79
10583;ОБЪЕКТА:;693;162;691;271;707;271;709;162
10584;Юго-Западный;742;853;741;1079;769;1079;770;853
10585;Административный;747;87;747;287;767;287;767;87
10586;округ;750;297;750;349;766;349;766;297
10587;Черемушки;804;878;802;1053;833;1053;835;878
10588;Район:;810;89;810;154;825;154;825;89
10589;Профсоюзной;856;1104;854;1321;885;1321;887;1104
10590;Обручева;858;914;856;1062;887;1062;889;914
10591;Пересечение;861;615;859;818;888;818;890;615
10592;Адрес:;863;88;862;154;882;154;883;88
10593;и;864;1076;864;1089;880;1089;880;1076
10594;улиц;865;830;864;901;888;901;889;830
10595;Строение:;907;1149;908;1253;927;1253;926;1149
10596;Корпус:;913;667;914;740;934;740;933;667
10597;Владение:;918;145;919;249;938;249;937;145
10598;объекта:;972;250;971;336;988;336;989;250
10599;Проект;973;701;974;804;1002;804;1001;701
10600;Наименование;974;89;973;241;989;241;990;89
10601;строительства;979;865;977;1084;1000;1084;1002;865
